Observation period,Clear sky GHI
2023-03-21T06:00:00.0/2023-03-21T06:01:00.0,243.792
2023-03-21T06:01:00.0/2023-03-21T06:02:00.0,247.24200000000002
2023-03-21T06:02:00.0/2023-03-21T06:03:00.0,250.698
2023-03-21T06:03:00.0/2023-03-21T06:04:00.0,254.14800000000002
2023-03-21T06:04:00.0/2023-03-21T06:05:00.0,257.604
2023-03-21T06:05:00.0/2023-03-21T06:06:00.0,261.06
2023-03-21T06:06:00.0/2023-03-21T06:07:00.0,264.51
2023-03-21T06:07:00.0/2023-03-21T06:08:00.0,267.966
2023-03-21T06:08:00.0/2023-03-21T06:09:00.0,271.416
2023-03-21T06:09:00.0/2023-03-21T06:10:00.0,274.872
2023-03-21T06:10:00.0/2023-03-21T06:11:00.0,278.322
2023-03-21T06:11:00.0/2023-03-21T06:12:00.0,281.772
2023-03-21T06:12:00.0/2023-03-21T06:13:00.0,285.22200000000004
2023-03-21T06:13:00.0/2023-03-21T06:14:00.0,288.666
2023-03-21T06:14:00.0/2023-03-21T06:15:00.0,292.11
2023-03-21T06:15:00.0/2023-03-21T06:16:00.0,295.55400000000003
2023-03-21T06:16:00.0/2023-03-21T06:17:00.0,298.992
2023-03-21T06:17:00.0/2023-03-21T06:18:00.0,302.43
2023-03-21T06:18:00.0/2023-03-21T06:19:00.0,305.868
2023-03-21T06:19:00.0/2023-03-21T06:20:00.0,309.3
2023-03-21T06:20:00.0/2023-03-21T06:21:00.0,312.732
2023-03-21T06:21:00.0/2023-03-21T06:22:00.0,316.158
2023-03-21T06:22:00.0/2023-03-21T06:23:00.0,319.578
2023-03-21T06:23:00.0/2023-03-21T06:24:00.0,322.998
2023-03-21T06:24:00.0/2023-03-21T06:25:00.0,326.412
2023-03-21T06:25:00.0/2023-03-21T06:26:00.0,329.82599999999996
2023-03-21T06:26:00.0/2023-03-21T06:27:00.0,333.234
2023-03-21T06:27:00.0/2023-03-21T06:28:00.0,336.63599999999997
2023-03-21T06:28:00.0/2023-03-21T06:29:00.0,340.038
2023-03-21T06:29:00.0/2023-03-21T06:30:00.0,343.428
2023-03-21T06:30:00.0/2023-03-21T06:31:00.0,346.824
2023-03-21T06:31:00.0/2023-03-21T06:32:00.0,350.208
2023-03-21T06:32:00.0/2023-03-21T06:33:00.0,353.58599999999996
2023-03-21T06:33:00.0/2023-03-21T06:34:00.0,356.964
2023-03-21T06:34:00.0/2023-03-21T06:35:00.0,360.33
2023-03-21T06:35:00.0/2023-03-21T06:36:00.0,363.696
2023-03-21T06:36:00.0/2023-03-21T06:37:00.0,367.05600000000004
2023-03-21T06:37:00.0/2023-03-21T06:38:00.0,370.40999999999997
2023-03-21T06:38:00.0/2023-03-21T06:39:00.0,373.75800000000004
2023-03-21T06:39:00.0/2023-03-21T06:40:00.0,377.1
2023-03-21T06:40:00.0/2023-03-21T06:41:00.0,380.42999999999995
2023-03-21T06:41:00.0/2023-03-21T06:42:00.0,383.76
2023-03-21T06:42:00.0/2023-03-21T06:43:00.0,387.08399999999995
2023-03-21T06:43:00.0/2023-03-21T06:44:00.0,390.40200000000004
2023-03-21T06:44:00.0/2023-03-21T06:45:00.0,393.70799999999997
2023-03-21T06:45:00.0/2023-03-21T06:46:00.0,397.014
2023-03-21T06:46:00.0/2023-03-21T06:47:00.0,400.308
2023-03-21T06:47:00.0/2023-03-21T06:48:00.0,403.596
2023-03-21T06:48:00.0/2023-03-21T06:49:00.0,406.878
2023-03-21T06:49:00.0/2023-03-21T06:50:00.0,410.154
2023-03-21T06:50:00.0/2023-03-21T06:51:00.0,413.418
2023-03-21T06:51:00.0/2023-03-21T06:52:00.0,416.67600000000004
2023-03-21T06:52:00.0/2023-03-21T06:53:00.0,419.928
2023-03-21T06:53:00.0/2023-03-21T06:54:00.0,423.17400000000004
2023-03-21T06:54:00.0/2023-03-21T06:55:00.0,426.408
2023-03-21T06:55:00.0/2023-03-21T06:56:00.0,429.63599999999997
2023-03-21T06:56:00.0/2023-03-21T06:57:00.0,432.858
2023-03-21T06:57:00.0/2023-03-21T06:58:00.0,436.06800000000004
2023-03-21T06:58:00.0/2023-03-21T06:59:00.0,439.272
2023-03-21T06:59:00.0/2023-03-21T07:00:00.0,442.47
2023-03-21T07:00:00.0/2023-03-21T07:01:00.0,445.656
2023-03-21T07:01:00.0/2023-03-21T07:02:00.0,448.836
2023-03-21T07:02:00.0/2023-03-21T07:03:00.0,452.004
2023-03-21T07:03:00.0/2023-03-21T07:04:00.0,455.16
2023-03-21T07:04:00.0/2023-03-21T07:05:00.0,458.31
2023-03-21T07:05:00.0/2023-03-21T07:06:00.0,461.454
2023-03-21T07:06:00.0/2023-03-21T07:07:00.0,464.586
2023-03-21T07:07:00.0/2023-03-21T07:08:00.0,467.71200000000005
2023-03-21T07:08:00.0/2023-03-21T07:09:00.0,470.826
2023-03-21T07:09:00.0/2023-03-21T07:10:00.0,473.928
2023-03-21T07:10:00.0/2023-03-21T07:11:00.0,477.024
2023-03-21T07:11:00.0/2023-03-21T07:12:00.0,480.10799999999995
2023-03-21T07:12:00.0/2023-03-21T07:13:00.0,483.18600000000004
2023-03-21T07:13:00.0/2023-03-21T07:14:00.0,486.252
2023-03-21T07:14:00.0/2023-03-21T07:15:00.0,489.3059999999999
2023-03-21T07:15:00.0/2023-03-21T07:16:00.0,492.354
2023-03-21T07:16:00.0/2023-03-21T07:17:00.0,495.38399999999996
2023-03-21T07:17:00.0/2023-03-21T07:18:00.0,498.41400000000004
2023-03-21T07:18:00.0/2023-03-21T07:19:00.0,501.42600000000004
2023-03-21T07:19:00.0/2023-03-21T07:20:00.0,504.43199999999996
